"order","publish","category","cat2","cat3","detail","channel","abstract","videoID","description"
"1","yes","Sciences humaines / Histoire / Histoire de la médecine","Sciences appliquées / Médecine / Maladies","","Peste noire","Asclépios","Présentation de la peste noire de 1347. La maladie, ses causes, ses conséquences et les tentatives thérapeutiques de l'époque.","8mnzKhWW1ro","Dans cet épisode, on parle de ce que vous préférez : maladies graves, épidémies mortelles, meurtres de masse, et fanatisme religieux. En fait on évoque juste la Peste Noire de 1347. On en a tous entendu parler mais on sait pas ce que c’est, ni les conséquences qu’elle a eu, et encore moins comment il y a 7 siècles on essayait de la soigner."
"2","yes","Sciences humaines / Histoire / Histoire de la médecine","Sciences appliquées / Médecine / Maladies / Vaccination","","Histoire de la vaccination","Asclépios","Débuts de la vaccination, expérimentations et succès","vumNnEZELgA","Dans ce 2e épisode, 3 maladies qui ont permis d'inventer la vaccination telle qu'on la connaît ! On y parlera de pustules et de pis de vache, d'assistants distraits qui fabriquent des poulets aux super-pouvoirs, de mignons petits lapins trépanés et d'expériences sur des enfants de 9 ans... Vous n’y croyez pas ? Allez vite voir !"
"3","yes","Sciences humaines / Histoire / Histoire de la médecine","Sciences appliquées / Médecine / Hygiène","","Fièvre puerpérale et lavage de mains","Asclépios","Présentation de la fièvre puerpérale. D'où l'importance, pour les médecins, de se laver les mains...","WQVYWUsrfbk","3e épisode d'Asclépios : avec des cadavres, des femmes enceintes, une maladie mortelle, et en guest-star Ignace Philippe Semmelweis, un toubib génial mais à moitié dingue."
"4","yes","Sciences humaines / Histoire / Histoire de la médecine","Sciences appliquées / Médecine / Langage médical","Sciences humaines / Linguistique / Langage médical","Histoire du langage médical","Asclépios","HIstoire des mots utilisés dans le cadre de la médecine de la Grèce antique à nos jours...","QWPWaGMsJrI","Avec Linguisticae, on vous propose de parcourir le monde au fil des siècles pour comprendre comment ont parlé les médecins de l'ère antique à nos jours. Et on participe à sa vidéo sur les pathologies du langage et les troubles dys (dont la dyslexie)."
"5","yes","Sciences humaines / Histoire / Histoire de la médecine","Sciences appliquées / Médecine / Chirurgie","","Chirurgie et Louis XIV","Asclépios","Comment la chirurgie française reçoit ses lettres de noblesse suite à l'opération du roi Soleil...","OHdHPVbIyDQ","Louis XIV a une fistule anale et le royaume est en danger. Les médecins tentent de le soigner mais rien n'y fait. Y a-t-il un chirurgien pour sauver le Roi ?"
"6","yes","Sciences humaines / Histoire / Histoire de la médecine","Sciences appliquées / Médecine / Circulation sanguine","","Histoire de la transfusion sanguine","Asclépios","Découverte de la circulation sanguine et histoire de la transfusion de sang d'un être vivant à un autre...","b9yijfFNyxs","Mettre du sang de quelqu'un dans quelqu'un d'autre. Ca peut être bien pratique... Mais comment on a fait en vrai pour en arriver là ?"
"7","yes","Sciences humaines / Histoire / Histoire de la médecine","Sciences appliquées / Médecine / Circulation sanguine","","Coagulation du sang","Asclépios","Comment un poison pour le bétail a-t-il été utilisé pour inventer la mort aux rats puis des médicaments anti-coagulants....","uzHyF2IRL-g","Du ""Poison"" dans vos médicaments !"
"8","yes","Sciences humaines / Histoire / Histoire de la médecine","Sciences appliquées / Médecine / Traitements, drogues","","Caca","Asclépios","L'utilisation thérapeutique du caca.","5GW3GLvtpSA","Le caca est-il un médicament ?"
"9","yes","Sciences humaines / Histoire / Histoire de la médecine","Sciences appliquées / Médecine / Radioactivité","","Radium","Asclépios","Découverte du radium, utilisation dans l'industrie et conséquences dramatiques.","3LL3dXeZr9g","Être une femme au début des années 20, c'est rigolo. Être empoisonnée au radium par un employeur fourbe c'est quand même moins sympa."
"10","yes","Sciences humaines / Histoire / Histoire de la médecine","Sciences appliquées / Médecine / Autopsie","","Mort d'Agnès Sorel","Asclépios","Présentation de l'enquête menée sur les restes d'Agnès Sorel, favorite du roi Charles VII, pour déterminer les causes de sa mort précoce.","Iyl_2OEgcxY","Élucider une mort suspecte, c'est classe. Mais quand on l'élucide 550 ans après, ca envoie du pâté modèle géant !"
"11","yes","Sciences humaines / Anthropologie / Maladies","Sciences appliquées / Médecine / Maladies","","Maladies dans l'histoire","Asclépios","Présentation de quelques maladies dont souffraient nos ancêtres du néolithique et de l'antiquité.","uIDASdax5aw","Les hommes préhistoriques, les grecs, les romains... C'était y a super longtemps. Mais eux aussi, ils chopaient des maladies dégoûtantes et peu enviables. Découvrons avec Passé Sauvage, les maladies d'avant et les débuts de la Sciences appliquées / Médecine."
"12","yes","Sciences humaines / Histoire / Histoire de la médecine","Sciences appliquées / Médecine / Maladies","","Ver solitaire","Asclépios","Histoire de la découverte du ver solitaire, de son apparition dans l'intestin et des traitements pour se débarasser de ce parasite...","R_L1g_DgQWU","Un véritable tutoriel dans la fabrication d'un ver solitaire à la mode d'antan. Attention : Le processus nécessite l'intervention de condamnés à morts, une compétence dans la fabrication de boudins, et un gynécologue sans scrupule"
"13","yes","Sciences humaines / Histoire / Histoire de la médecine","Sciences appliquées / Médecine / Maladies","","Visions de Saint-Antoine","Asclépios","Description du ""mal des ardents"" (ergot de seigle) et proposition d'une explication aux visions du saint...","kKmrOOZiv54","Clash : un mec dans le désert, des démons et des visions de femmes lubriques, sous le regard de Jésus himself ! Antoine le Grand était-il un Saint, ou un mec qui avait besoin de se faire soigner ?"
"14","yes","Sciences appliquées / Médecine / Maladies / Vaccination","","","Vaccination","Asclépios","Qu'est-ce qu'un vaccin et quels sont les bénéfices et risques associés à la vaccination ?","YBKxH0oPKEw","Avec Un Peu Pointu, on vous propose une vidéo en 2 volets sur la vaccination : ici on aborde le côté pratique-médical de la vaccination et on va répondre à toutes les questions que vous vous posez."
"15","no","Sciences humaines / Histoire / Histoire de la médecine","Sciences appliquées / Médecine / Expérimentations médicales","","Nazisme et solution finale","Histoire brève","Seynettes sur la mise en place d'expérimentations médicales et de la solution finale par les nazis - partie 1","u1z16qyRxLs",""
"16","no","Sciences humaines / Histoire / Histoire de la médecine","Sciences appliquées / Médecine / Expérimentations médicales","","Nazisme et solution finale","Asclépios","Seynettes sur la mise en place d'expérimentations médicales et de la solution finale par les nazis - partie 2","8acG4JFcSqY",""
"17","yes","Sciences appliquées / Médecine / Soins palliatifs","","","Fin de vie","Asclépios","Présentation de la prise en charge palliative et de la relation au patient en fin de vie et à sa famille","EIMUonIDmQQ","Parlons de fin de vie, de la mort"
"18","no","Sciences appliquées / Médecine / Maladies","","","SIDA","Asclépios","Vidéo 2nd degré où le SIDA est une start-up. Décryptage d'un succès.","KkqS2-3eRQk","Et si une pandémie mortelle devenait le produit phare de la dernière start-up à la mode ? Une enquête exclusive"
"19","yes","Sciences humaines / Histoire / XXème siècle / 1ère guerre mondiale","","","Bataille","Nota Bene","Comment s'est déroulée la bataille de la Somme de 1918 ?","-ukcTqCYneQ","On parle souvent de la bataille de la somme en 1916, mais beaucoup moins de celle de 1918, qui pourtant est un tournant dans la Grande Guerre. Dans cet épisode, découvrez les tactiques inédites mises en place par les généraux alliés afin de vaincre les allemands. Explorez la légende du Baron Rouge, découvrez la bataille du Hamel et le célèbre Sir John Monash, rejoignez les troupes néo-zélandaise et australiennes pour un assaut qui reste encore aujourd'hui dans les mémoires !"
"20","yes","Sciences humaines / Histoire / XXème siècle / 1ère guerre mondiale","","","Vie des soldats","Nota Bene","Comment vivaient les soldats à l'arrière du front ?","yC3Mq00MtF0","Si j’ai souvent l’occasion de vous parler de batailles de la Grande Guerre, il faut nous rappeler que la vie d’un soldat n’est pas seulement au front. Elle est aussi à l’arrière, au repos. Sauf que vous imaginez bien que lorsque vous êtes un soldat Anglais, Australien ou même Néo-Zélandais en 1918, vous ne pouvez pas vraiment profiter d’une permission de quelques jours pour rentrer chez vous ! Sur le front de la Somme, très tôt l’état-major britannique va décider de faire d’Amiens un lieu de repos pour les troupes venues du Commonwealth..."
"21","yes","Sciences humaines / Histoire / XXème siècle / 1ère guerre mondiale","","","Débarquement","Nota Bene","Comment s'est déroulé le débarquement américain à Château-Thierry ?","kk4ZQqVu3CM","Les soldats de la 2ème division US, principalement composée de vétérans d’autres campagnes militaires mais aussi de Marines redoutables et très bon tireurs, reçoivent l’ordre de tenir la ligne dans le secteur du bois Belleau, alors aux mains des allemands. Après avoir repoussé les attaques pendant des jours, les Marines recoivent l’ordre de reprendre le bois Belleau le 6 juin 1918."
"22","yes","Sciences humaines / Histoire / XXème siècle / 1ère guerre mondiale","","","Vie sous l'occupation","Nota Bene","Comment vivent les français sous l'occupation pendant la 1ère guerre mondiale ?","c-yy3pyvMBk","Le 21 août 1914, les allemands envahissent la ville de Dinant, non loin de la frontière française. Ils massacrent les civils, tirent par les fenêtres, mettent le feu aux maisons. Les villageois fuient pour sauver leur vie, notamment en direction de Saint-Quentin. C'est le prémisse d'une occupation du territoire français, en particulier le nord-est du pays, sans aucune mesure avec celle de la seconde guerre mondiale..."
"23","yes","Sciences humaines / Histoire / XXème siècle / 1ère guerre mondiale","","","Bataille","Nota Bene","Comment s'est déroulée la bataille du Chemin des Dames ?","hdsncd8rb2s","Le 16 avril 1917, les hommes sont réveillés à 3h30 du matin afin de préparer la première vague d’assaut. A 6h, les sifflets sonnent, la bataille de Chemin des Dames est lancée."
"24","yes","Sciences humaines / Histoire / XXème siècle / 1ère guerre mondiale","","","Bataille","Nota Bene","Comment s'est déroulée la bataille de Verdun ?","7BcEcU1HWfQ","Le matin du 21 février 1916, le déluge d’obus commence. quarante batteries de 800 canons frappent les lignes françaises. Les explosions d’obus sont si fortes et si nombreuses qu’elles peuvent être perçues à 150 km...c'est la célèbre bataille de Verdun."
"25","yes","Sciences humaines / Histoire / XXème siècle / 1ère guerre mondiale","","","Bataille","Nota Bene","Comment s'est déroulée la bataille d'Arras ?","zRWtvqFxiZo","En 1917, tandis que les forces françaises se heurtent à un mur au Chemin des Dames, les britanniques tentent de repousser les troupes allemandes à la bataille d'Arras..."
"26","yes","Sciences humaines / Histoire / XXème siècle / 1ère guerre mondiale","","","Troupes coloniales","Nota Bene","Comment les troupes coloniales ont participé à la Grande Guerre ?","vUUBIdtYqc8","Lorsque la Première guerre mondiale éclate, l’Afrique est alors un grand réservoir de soldats prêts à servir leurs empires. En France, dès les débuts de l’empire colonial africain, des régiments militaires coloniaux sont constitués : c’est par exemple le cas des célèbres tirailleurs sénégalais, dont tous n’étaient pas sénégalais mais africains de manière générale."
"27","yes","Sciences humaines / Histoire / XXème siècle / 1ère guerre mondiale","","","Bataille","Nota Bene","Comment s'est déroulée la 6ème bataille de l'Isonzo ?","gfvD7stLeQQ","Durant la première guerre mondiale, l'Italie se heurte à la défense Autrichienne, protégée par le fleuve Isonzo. Si leur position géographique assure aux italiens une défense facile à tenir, elle leur complique lourdement la tâche pour lancer un assaut victorieux. Retour sur la 6ème bataille de l’Isonzo, dont la victoire a permis de stimuler le moral des troupes italiennes."
"28","yes","Sciences humaines / Histoire / XXème siècle / 1ère guerre mondiale","","","Italie","Nota Bene","Quel rôle joue l'Italie pendant la 1ère guerre mondiale ?","EI3uFBmmJpc","Au début de la première guerre mondiale, l'Italie se retrouve dans une situation complexe. Tiraillée entre son alliance avec les forces de la Triplice et ses engagements économiques avec la Grande-Bretagne, elle qui rêvait de s'imposer comme une des grandes puissances européennes voit son avenir compromis par les conflits internationaux."
"29","yes","Sciences humaines / Histoire / XXème siècle / 1ère guerre mondiale","","","Alsace","Nota Bene","Quel rôle jouent les alsaciens pendant la 1ère guerre mondiale ?","s123aQyPfMQ","Lorsque la première guerre mondiale éclate, la situation de l'Alsace devient critique. L’Allemagne veut en faire une tête de pont du rayonnement de l'Empire tandis que les civils sont déchirés entre leur histoire à cheval entre les deux pays. Espionnage, suspicions, trahisons...les alsaciens sont accusés de tous les mots et subissent de plein fouet la violence de la guerre."
"30","yes","Sciences humaines / Histoire / XXème siècle / 1ère guerre mondiale","","","Russie","Nota Bene","Quel rôle joue l'armée russe pendant la 1ère guerre mondiale ?","B155uHI1KHw","Lorsque la première guerre mondiale éclate, la Russie se retrouve seule à l’est face aux allemands et aux austro-hongrois, qui entendent bien mener des actions rapides pour se débarrasser des russes au plus vite : en effet, pour les empires centraux, le conflit se déroule sur deux fronts et ces derniers comptent bien en finir le plus tôt possible d’un côté pour mieux se concentrer sur l’autre. La Russie, qui possède certes plus d’hommes, est militairement moins équipée et mal formée."
"31","yes","Divertissement / Jeux vidéos","Sciences humaines / Histoire / XXème siècle / 1ère guerre mondiale","","Battlefield 1 et histoire","Nota Bene","Comment l'histoire dela 1ère guerre mondiale est-elle traitée dans le jeu vidéo Battlefield 1 ?","RJmBtFnIRIo","Aujourd'hui on revient sur la polémique Battlefield 1 ! Est-elle justifié ? Pourquoi tant de bruit autour d'un jeu vidéo ? Est ce que le choix d'Electronic Arts est symptomatique d'un malaise plus profond ?"
"32","yes","Sciences humaines / Histoire / XXème siècle / 1ère guerre mondiale","","","Etats-Unis","Nota Bene","Quel rôle jouent les Etats-Unis pendant la 1ère guerre mondiale ?","o_ze8uYAOE8","Durant la Première guerre mondiale, les américains soutiennent les Alliés. Pour que la population ne meure pas de faim ils envoient de la marchandise en France, puis en Belgique. Les tonneaux de farine et de blé sont déchargés des péniches tout comme la graisse qui est ensuite pesée. De la soupe et du pain peuvent ainsi être distribués à la population civile et de la farine aux malades. La graisse permet la préparation du lait concentré."
"33","yes","Sciences humaines / Histoire / XXème siècle / 1ère guerre mondiale","","","Aviation","Nota Bene","Comment la 1ère guerre mondiale a-t-elle permis le progrès dans l'aviation ?","8JHJBdkasJw","La première guerre mondiale a permis à l’aviation de véritables avancées technologiques. Avions de chasse, bombardements et unités de reconnaissances, c’est l’occasion pour Nota Bene de revenir sur ces évolutions !"
"34","yes","Sciences humaines / Histoire / XXème siècle / 1ère guerre mondiale","","","Bataille","Nota Bene","Présentation de cinq batailles de la 1ère guerre mondiale","a6jyG_cz48k","C'est pas parce que c'est de l'histoire, qu'on peut pas en raconter! Dix-septième épisode de Nota Bene et aujourd'hui on aborde la Première Guerre Mondiale. De la bataille des frontières au chemin des dames en passant par Verdun, les affrontements entre les forces allemandes et la triple entente sont longs et sanglants. A travers l'analyse de quelques batailles je tente de faire comprendre comment le front s'est organisé de 1914 à 1918."
"35","yes","Sciences humaines / Histoire / XXème siècle / 1ère guerre mondiale","","","Autochtones américains","Nota Bene","Comment les autochtones américains ont-ils participé à la 1ère guerre mondiale ?","-Yt7Lg-9KtQ","Les autochtones, qu'on appelle souvent par abus de langage ""indiens d'amérique"", sont souvent associé dans l'imaginaire collectif aux cowboys et...c'est tout. Pourtant, leur peuple n'a pas disparu avec l'arrivé de l'homme blanc, bien au contraire ! Et durant la première guerre mondiale nombreux sont les autochtones qui ont participé, aux Etats-Unis ou au canada, à l'effort de guerre. Dans cet épisode, je vous propose de revenir ensemble sur la situation des autochtones canadien durant la première guerre mondiale et de découvrir quelques parcours...atypiques !"
"36","yes","Sciences humaines / Histoire / XXème siècle / 1ère guerre mondiale","Divertissement / Cinéma","Sciences humaines / Histoire / Histoire et fiction","Joyeux Noël et réalité historique","Nota Bene","De quels évènements s'inspire le film ""Joyeux Noël"" ?","uuUIePCN6zo","Troisième épisode de ""Motion VS History"", l'émission qui sépare l'histoire d'une fiction de celle de la réalité ! Dans ce numéro nous reviendrons sur le film ""Joyeux Noël"" de Christian Carion et sur les inspirations qui l'ont poussé à réaliser un film sur la fraternisation dans les tranchées durant la 1ère guerre mondiale. Nous aborderons également une initiative autour de son prochain film qui vise à reccueillir un maximum de témoignage sur l'exode qu'on vécu des millions de français en 1940."
"37","yes","Sciences humaines / Histoire / Histoire et fiction","Divertissement / Littérature","","Game of Thrones","Nota Bene","De quels faits historiques s'est inspiré George R. R. Martin pour écrire Game of Thrones ?","4XPTCPWTJAk","Premier épisode de ""Motion VS History"", l'émission qui sépare l'histoire d'une fiction de celle de la réalité ! Dans cet épisode consacré à Game Of Thrones, nous reviendrons sur les inspirations de Georges Martin pour l'écriture de son roman, sur la géographie de l'univers et sa similarité avec le notre et enfin sur le personnage le plus important de Game of Thrones sans qui il n'y aurait pas eu d'intrigue !"
"38","yes","Sciences humaines / Histoire / Histoire et fiction","Divertissement / Littérature","","Game of Thrones","Nota Bene","Quelles sont les inspirations historiques derrière les fins de saison de Game of Thrones ?","TmTGyLyA0Ck","Deuxième épisode de ""Motion VS History"", l'émission qui sépare l'histoire d'une fiction de celle de la réalité ! Dans cet épisode consacré à Game Of Thrones, nous reviendrons sur les inspirations historiques de Georges Martin et plus particulièrement pour les évènements de fin de saison (dans la série TV)."
"39","yes","Sciences humaines / Histoire / Histoire et fiction","Divertissement / Littérature","","Game of Thrones","Nota Bene","De quoi s'est inspiré George R. R. Martin pour créer le château des Eyriés ? ","KMrvjaAl0Ps","Georges R.R. Martin se serait-il inspiré d'un vrai château quand il a imaginé les Eyriés dans Game Of Thrones ? On va voir ça ensemble dans ce nouvel épisode Motion VS History de Nota Bene et on en profitera au passage pour faire un petit point sur les prisons au Moyen Âge !"
